NO,NOx,CO,NO2,O3,PM10,PM2.5,SO2,Class
0.6,18,0.48,17,21,33,18,2.1,0
0.8,16,0.39,15,25,31,16,2.2,0
1.8,27,0.58,25,11,23,13,1.9,0
9.2,39,0.69,30,8.9,29,15,2.4,0
7.4,31,0.62,23,20,32,14,2.6,0
7,26,0.53,19,32,28,11,2.1,0
4.4,17,0.37,12,43,33,15,1.6,0
3.9,17,0.4,13,48,38,16,2.1,0
4.6,22,0.52,17,53,40,19,2.6,1
3.1,18,0.5,15,61,37,20,2.3,1
3.9,21,0.53,17,61,34,20,2.3,1
4.1,23,0.51,19,56,38,20,2.1,1
4.8,27,0.51,22,49,38,18,2,0
5.7,32,0.57,26,39,37,18,2.2,0
6.6,42,0.69,36,26,37,15,10,0
6.8,49,0.8,42,18,38,13,12,0
8.8,55,0.87,46,12,33,15,8.2,0
9.1,53,0.93,44,9.9,33,17,4.8,0
4.6,41,0.83,37,16,34,16,2.1,0
5.7,48,1.02,43,9.6,34,15,2.3,0
2.7,32,0.73,29,14,34,15,1.8,0
1.6,29,0.66,28,16,32,15,1.9,0
1,19,0.47,18,23,31,14,1.7,0
1.1,16,0.42,15,15,28,14,1.4,0
0.9,15,0.41,14,16,27,15,1.6,0
0.9,14,0.39,13,15,29,18,1.6,0
1.2,16,0.41,15,13,28,20,1.6,0
4.2,21,0.51,17,11,27,15,1.5,0
9.9,29,0.62,19,14,28,13,1.5,0
13,37,0.78,24,21,35,14,2.3,0
12,42,0.84,30,31,43,17,5.3,0
7.2,28,0.58,20,39,40,15,5.3,0
6.8,26,0.53,19,42,32,14,8.5,0
4,20,0.46,16,53,29,15,8.7,1
3,17,0.47,14,62,29,15,4.5,1
4.1,22,0.53,18,56,32,16,3.3,1
4.7,25,0.53,20,49,37,16,4.8,0
3.6,24,0.54,21,43,40,16,6.8,0
4.2,35,0.75,31,31,38,20,5.7,0
2.3,30,0.81,28,30,35,22,1.8,0
2.7,30,0.76,27,28,39,24,1.5,0
3.9,40,0.91,36,20,39,22,1.6,0
2.2,33,0.76,31,25,37,19,1.5,0
2,31,0.76,29,27,33,17,1.5,0
1.2,27,0.7,26,26,39,18,1.4,0
1.9,31,0.76,29,15,42,18,1.6,0
3.1,34,0.76,31,2.3,44,23,4,0
1.5,27,0.61,25,5,45,27,4.1,0
4.8,34,0.6,29,2,44,27,5.6,0
3.1,31,0.57,28,3.6,50,28,5.2,0
9,38,0.66,29,1.1,49,30,5.6,0
17,46,0.76,29,2,48,31,6.5,0
26,57,0.96,31,3.3,51,35,7.8,1
37,76,1.51,39,6.2,59,38,7.9,1
22,67,1.41,44,15,62,33,4.7,1
13,56,1.22,44,42,61,33,4.1,1
3.8,33,0.91,29,78,64,38,6.6,1
3.7,26,0.74,23,84,70,36,7.2,1
3,21,0.6,18,89,71,32,4.9,1
3.6,40,0.88,36,85,76,36,5.7,1
2.8,37,0.86,34,92,82,42,5.6,1
4,48,1,44,62,82,43,6.5,1
6,54,1.16,48,29,75,38,4.3,1
10,67,1.85,57,8.8,64,37,3.8,1
33,96,2.75,63,1.6,68,41,4.8,1
28,84,2.2,56,3.1,78,43,4.8,1
9.8,55,1.33,45,5.8,70,39,3,1
10,53,1.39,43,3.6,54,31,2.6,1
15,53,1.29,37,5.9,50,33,3.6,0
5.1,35,0.87,30,8.8,48,33,2.1,0
7.4,33,0.77,25,9.9,45,27,3.8,0
21,55,1.05,35,0.7,57,34,7,1
8.5,35,0.78,27,2.1,65,36,6.8,1
1.5,27,0.75,26,4.8,61,31,4.8,1
9.4,40,0.95,31,1.1,59,29,5.1,1
33,63,1.11,29,1.9,62,35,6.1,1
40,81,1.56,41,5.5,75,42,8.5,1
26,85,1.94,58,22,76,46,6.3,1
12,76,1.72,64,47,76,42,4.7,1
4.7,36,0.91,31,68,72,33,3.6,1
1.4,23,0.7,22,84,64,29,5.4,1
1.6,26,0.66,24,72,66,33,6.5,1
1.4,22,0.52,20,54,62,30,4.7,1
1.6,15,0.33,13,39,53,24,3.5,1
2,17,0.33,15,39,45,20,3.6,0
0.9,17,0.42,16,47,54,19,3.8,1
0.1,20,0.53,20,43,62,25,4.5,1
0.9,27,0.72,26,33,68,29,5.9,1
0.9,34,0.85,34,23,73,34,5.9,1
5.6,54,1.13,48,8.3,70,36,7.3,1
19,73,1.5,54,1.5,70,39,7.7,1
21,64,1.41,43,1.6,67,40,7.3,1
8,38,0.89,30,4.3,62,37,4.2,1
7.1,44,1,37,1.2,60,35,3.3,1
7.1,41,0.91,34,0.7,61,32,4,1
6.2,35,0.69,29,1.2,61,34,4.8,1
6.7,29,0.59,22,2.1,60,33,4,1
6.3,29,0.64,22,1.8,57,33,3.7,1
18,43,0.75,24,0.6,61,34,5.9,1
41,66,1.02,25,1,67,34,6.2,1
40,64,1.47,24,2.7,60,31,3.9,1
26,56,1.36,30,8.4,49,26,3.2,0
14,48,1.1,34,28,48,26,2.8,0
6.8,40,0.7,33,23,72,25,4.1,1
8.3,48,0.85,40,13,71,26,4.1,1
12,65,1.66,54,2.9,73,28,4.2,1
18,84,2.06,65,1.6,78,31,7.9,1
35,98,1.98,63,1.1,84,38,6.6,1
21,81,1.93,60,3,77,41,4.5,1
50,99,1.88,49,0.4,77,40,7.7,1
35,73,1.34,38,0.4,87,42,11,1
25,59,0.92,34,0.2,81,36,9.4,1
10,40,0.56,29,0.6,68,31,5.3,1
4.1,30,0.58,26,5.1,61,32,3.1,1
2.2,16,0.43,14,11,50,26,2.3,0
2.7,18,0.43,16,9.5,38,24,1.9,0
3.5,22,0.48,18,6.4,40,22,2.3,0
6.3,25,0.54,19,7.4,38,16,2.4,0
20,47,0.91,27,6.6,57,25,7.5,1
18,54,1.29,37,18,82,39,5.3,1
8.6,49,1.31,40,48,88,44,3.9,1
6,43,1.14,37,77,82,46,3.8,1
3.6,26,0.5,22,102,81,35,4.9,2
3.2,22,0.56,19,86,75,31,4.3,1
1.9,22,0.48,20,57,81,30,4.4,1
3.1,28,0.58,25,46,81,28,3.9,1
3.1,33,0.67,30,33,75,25,4.7,1
5.2,47,0.95,42,19,67,25,9.9,1
6,52,1.11,46,10,62,28,14,1
4.1,37,0.82,33,6,60,25,8,1
4.7,31,0.62,26,3.7,60,25,4.4,1
4.1,29,0.58,25,2.5,62,25,5.8,1
14,40,0.71,26,0.5,62,23,6.7,1
14,41,0.71,26,0.4,65,24,11,1
17,42,0.85,26,0.5,72,23,9.2,1
15,40,0.89,24,0.4,61,19,3.7,1
6,28,0.58,22,1.9,45,20,3,0
3.6,21,0.48,18,3.5,43,23,2.2,0
8.9,29,0.69,20,0.7,39,24,2.8,0
13,33,0.67,20,0.6,37,20,2.9,0
14,32,0.66,19,3,40,17,2.8,0
16,34,0.74,18,7.1,44,20,3.1,0
11,32,0.74,21,18,49,23,4.7,0
7.6,32,0.75,24,34,57,28,6.1,1
3.9,23,0.62,19,58,66,31,6.5,1
2.9,19,0.48,16,68,64,29,4.7,1
1.6,12,0.39,11,76,50,23,3.5,1
2.1,14,0.42,12,90,53,22,4.6,1
1.9,14,0.38,12,85,61,26,5.2,1
1.7,14,0.39,12,89,64,27,4.9,1
1.7,19,0.52,18,78,67,27,5,1
2.9,30,0.73,27,32,65,22,4.5,1
3.1,31,0.9,27,17,54,19,4.3,1
2.9,38,0.89,35,22,51,19,9.3,1
3.1,30,0.83,27,11,53,18,3.8,1
3.6,31,0.83,28,9.5,48,18,4.6,0
4.4,43,0.93,39,7.2,51,20,13,1
10,43,0.84,33,2.5,59,20,6.5,1
9.9,41,0.77,31,0.9,56,24,11,1
2,26,0.64,24,8.2,55,25,3.2,1
2,25,0.57,23,7.3,54,24,3.5,1
3.6,30,0.6,26,2.1,50,18,4,0
8,34,0.68,26,0.8,54,18,5.1,1
15,40,0.79,26,0.6,57,25,6.4,1
22,48,0.88,26,1.7,61,28,8.8,1
23,48,0.83,25,4.1,66,31,9,1
12,38,0.75,25,17,67,33,6.6,1
5.4,26,0.65,21,40,70,32,5.3,1
3.1,21,0.63,18,68,70,32,4.5,1
2.3,20,0.63,17,95,67,32,3.3,1
1.8,16,0.58,14,104,67,38,3.2,2
1.5,15,0.52,14,93,65,37,3.2,1
1.4,14,0.45,12,73,59,29,3.1,1
2,15,0.42,13,52,49,24,3,1
1.9,17,0.46,15,49,46,20,3.5,0
2.1,25,0.65,22,35,45,19,4.4,0
1.8,23,0.62,21,22,48,18,3.6,0
1.9,24,0.62,22,16,45,14,3.1,0
2.8,30,0.71,27,9.7,40,13,3.7,0
2.6,27,0.64,24,11,39,14,3.7,0
3.3,28,0.58,25,7.5,35,15,4,0
3.2,30,0.66,27,4.5,42,14,5.4,0
6.2,35,0.69,29,1.1,51,15,9.3,1
17,42,0.77,25,1.3,46,20,3.3,0
4.8,24,0.6,19,2.5,40,20,2.2,0
2.2,16,0.47,14,5.5,37,17,2,0
1.4,11,0.36,9.8,10,32,17,1.9,0
2.5,15,0.4,13,10,33,20,1.9,0
6.6,24,0.47,17,9.2,37,21,2,0
7.3,22,0.48,14,15,38,21,2,0
5.2,17,0.44,12,25,37,20,2.1,0
4.1,18,0.51,14,43,35,21,2.3,0
2,12,0.43,10,71,40,24,3.2,1
2.1,15,0.52,13,87,56,30,6.4,1
1.6,14,0.5,13,93,71,36,7.1,1
1.5,13,0.46,12,100,72,36,6.1,1
1.6,13,0.45,11,95,71,33,5.5,1
1.7,13,0.4,11,86,62,26,4.5,1
1.9,17,0.47,15,70,55,25,4.7,1
2.1,27,0.56,25,45,56,26,11,1
2.4,30,0.62,27,28,59,24,9.6,1
2.1,22,0.51,20,19,53,19,4.8,1
3.2,22,0.51,19,11,43,11,2.3,0
2.2,23,0.48,20,8.5,43,11,3.4,0
3.1,31,0.6,28,5.8,45,24,4.3,0
6.4,37,0.67,30,2,53,27,5.1,1
8.2,34,0.49,26,1.9,56,23,5,1
6.7,30,0.45,23,1.4,48,21,4.8,0
8.8,29,0.42,20,2.1,42,21,3.8,0
9.3,28,0.38,18,1.1,39,18,3.8,0
12,30,0.48,18,0.5,42,16,3.6,0
12,30,0.52,18,0.7,49,20,6.8,0
18,34,0.58,16,1.6,48,20,4.2,0
18,36,0.62,19,6.2,48,20,4.8,0
11,34,0.64,23,18,51,23,4,1
7.1,29,0.56,22,39,49,24,3.4,0
4.2,20,0.43,16,51,46,22,4.3,1
3.4,20,0.42,16,54,46,23,9.9,1
3.8,18,0.35,15,55,43,22,11,1
3.8,21,0.36,17,55,42,20,14,1
4.2,20,0.36,16,38,37,14,7.3,0
3.4,14,0.27,10,39,34,10,2.9,0
3.2,17,0.35,13,32,48,11,3.6,0
2.5,22,0.57,19,23,51,14,3.4,1
2.3,32,0.68,29,12,56,18,6.8,1
2.6,27,0.63,24,15,67,20,4.2,1
2.1,14,0.41,12,27,60,18,2.7,1
1.5,11,0.37,9.4,27,42,13,2,0
1.7,13,0.43,11,25,32,7,2,0
2,13,0.42,11,29,29,3,1.8,0
1.7,9.3,0.34,7.6,37,28,5,1.7,0
1.5,7.9,0.31,6.4,40,16,6,1.6,0
1.8,7.4,0.29,5.6,39,9,1,1.5,0
2,7.9,0.29,5.9,39,10,1,1.5,0
2.3,8,0.31,5.6,41,9,0,1.5,0
2.4,10,0.32,7.6,37,13,0,1.5,0
3.9,18,0.42,14,30,13,4,1.5,0
5.1,24,0.6,19,32,12,3,1.5,0
6.5,29,0.66,22,30,12,3,1.8,0
5.5,24,0.51,18,34,16,4,1.7,0
4.9,22,0.47,17,35,23,5,1.8,0
4.5,19,0.42,14,39,23,8,1.6,0
4.6,20,0.44,15,37,22,9,1.4,0
4.8,23,0.46,18,35,23,7,1.7,0
4.4,23,0.46,19,34,27,4,1.6,0
5.1,25,0.46,20,34,26,4,1.6,0
5.4,26,0.48,21,34,21,5,1.6,0
5,30,0.59,25,31,17,6,1.6,0
4.6,31,0.65,27,31,16,9,1.7,0
4.8,30,0.61,25,32,13,10,1.5,0
3.9,26,0.52,22,35,12,8,1.6,0
3.1,22,0.48,19,36,12,4,1.4,0
3.2,19,0.46,16,40,11,0,1.5,0
2.3,15,0.36,13,43,13,1,1.4,0
2.7,12,0.29,9.5,46,12,3,1.3,0
2,9.4,0.24,7.5,47,11,7,1.2,0
2,8.5,0.21,6.6,48,12,5,1.2,0
0.4,7.7,0.21,7.3,47,10,2,1.2,0
0.8,7.4,0.21,6.5,47,10,3,1.1,0
0.6,9.6,0.23,9,45,11,4,1.2,0
2,19,0.3,17,37,12,4,1.2,0
4,29,0.53,25,30,13,5,1.4,0
6,34,0.59,28,28,16,7,1.5,0
6,33,0.5,27,28,22,10,1.5,0
5.3,31,0.43,26,28,28,10,2.3,0
6.3,31,0.44,25,30,28,6,1.7,0
4.3,26,0.41,21,33,20,8,1.7,0
4.1,27,0.4,23,32,17,10,1.5,0
3.9,27,0.39,23,33,23,4,1.6,0
3.9,28,0.4,24,31,26,4,1.6,0
4.4,34,0.47,30,25,33,10,1.8,0
4.8,36,0.58,31,22,31,11,1.6,0
4.2,34,0.63,30,24,24,10,1.6,0
3.6,32,0.57,28,25,26,10,1.8,0
2.9,28,0.47,25,26,24,13,2.9,0
2.5,27,0.48,25,28,22,15,4,0
2.5,21,0.44,19,33,22,13,2,0
0.8,13,0.31,12,40,27,11,1.8,0
0.7,11,0.28,10,42,28,11,3.1,0
0.4,10,0.27,9.5,43,27,15,3.4,0
0.8,9.2,0.26,8.4,44,28,15,2.1,0
1.5,8.5,0.25,7,44,28,15,2.2,0
1.3,8.2,0.28,6.9,45,23,10,2,0
1.7,12,0.29,11,42,18,12,3.5,0
2.7,21,0.38,18,35,21,15,3,0
5.1,30,0.65,25,29,22,11,2.5,0
7,35,0.72,28,28,27,11,2,0
7.3,34,0.56,27,30,33,10,2,0
7.1,28,0.45,21,36,31,10,1.8,0
5.7,25,0.41,19,37,29,16,2,0
5.2,23,0.39,18,39,29,18,3.2,0
3.6,24,0.45,20,35,43,18,2.8,0
5.2,29,0.48,24,31,37,18,1.6,0
6.5,37,0.58,31,24,32,16,1.7,0
8.1,44,0.74,36,18,27,12,1.8,0
8.9,48,1,39,14,23,12,1.9,0
7.4,43,0.89,36,16,22,12,2,0
4.8,36,0.69,31,20,16,11,5.3,0
4.2,30,0.6,25,26,17,13,4,0
2.8,24,0.54,21,30,15,10,2.6,0
2.5,20,0.43,18,33,11,6,3.7,0
2,14,0.33,12,40,20,6,2.4,0
1.8,9.9,0.27,8.1,42,17,5,1.1,0
2.1,8.9,0.25,6.8,43,11,7,1,0
1.4,9.1,0.25,7.7,43,12,6,1.1,0
1.5,8.2,0.23,6.8,43,12,1,1.6,0
1.3,11,0.26,10,42,12,1,3.2,0
3.4,26,0.37,22,30,11,4,1.2,0
7.4,39,0.7,32,21,11,4,1.7,0
10,45,0.82,35,20,16,9,2.6,0
9,40,0.55,31,24,20,11,4.8,0
7,37,0.5,30,26,23,10,2.3,0
7.9,36,0.46,28,28,23,8,1.8,0
6.9,33,0.48,26,30,16,8,1.3,0
5,27,0.44,22,35,13,7,1.2,0
6.1,31,0.46,24,32,13,4,1.5,0
6,32,0.48,26,32,15,0,1.3,0
5.8,36,0.54,30,27,20,4,1.4,0
5.3,38,0.62,32,26,21,6,1.3,0
4.7,36,0.68,31,27,18,7,1.3,0
3.6,33,0.63,30,30,16,11,1.4,0
3.6,30,0.54,27,31,12,9,1.3,0
4.2,32,0.56,28,29,21,8,1.4,0
3.3,28,0.51,25,32,28,14,3.5,0
2,22,0.43,20,37,28,15,1.9,0
1.7,16,0.36,15,42,31,11,2.9,0
1.4,9.6,0.27,8.2,51,32,11,1.8,1
1.3,8.7,0.26,7.4,53,32,15,2.4,1
0.8,7.1,0.25,6.3,54,33,18,1.7,1
1,7.8,0.25,6.8,53,34,17,1.9,1
0.5,9.7,0.28,9.2,51,35,18,1.8,1
1.4,16,0.33,15,46,38,20,1.9,0
2.1,21,0.4,19,43,40,20,2.4,0
2.8,25,0.43,22,39,42,18,2.5,0
3.6,31,0.48,27,34,42,18,3.8,0
4.7,32,0.47,27,34,40,21,4.3,0
4.3,28,0.45,24,38,45,22,3.3,0
3.3,23,0.42,19,42,44,19,2,0
5.3,32,0.49,27,34,44,17,2.2,0
4.6,35,0.49,30,29,55,20,2.2,1
4.9,37,0.5,32,28,53,20,1.9,1
3.3,29,0.46,26,36,39,18,2.4,0
2.8,35,0.65,32,29,35,20,2.1,0
3.5,45,0.86,41,18,38,15,2.1,0
2.8,37,0.64,34,29,35,16,1.9,0
2.6,34,0.61,32,30,31,21,2.3,0
4.1,41,0.7,37,22,34,21,2.3,0
3,42,0.77,39,20,38,23,2.1,0
2.3,39,0.73,37,19,42,25,2,0
2.5,39,0.72,37,15,45,25,2,0
2.5,45,0.83,43,7,45,22,1.8,0
2.2,46,0.85,44,3.2,45,20,2,0
2.9,42,0.76,39,4.3,50,27,2.3,0
2,38,0.76,36,6.5,59,31,2.7,1
2.4,34,0.71,32,8.5,59,30,3.1,1
3.8,34,0.71,31,11,54,30,3.8,1
6.2,36,0.72,29,13,56,31,3.8,1
6.9,35,0.79,28,16,59,31,4.1,1
7,32,0.73,25,27,53,28,4.8,1
3.5,24,0.61,20,36,38,21,2.8,0
2.5,18,0.52,15,47,27,14,2.1,0
2.1,14,0.44,12,51,17,9,2,1
2,16,0.5,14,50,17,10,1.9,0
2,15,0.42,13,52,21,9,1.7,1
2.1,22,0.57,20,44,28,8,1.9,0
2.1,23,0.54,21,42,35,13,2.1,0
2.3,38,0.79,35,25,43,18,2.8,0
3.4,49,0.95,46,12,49,25,3.3,0
3.4,44,0.96,41,16,48,31,2.8,0
3.7,45,0.95,41,17,45,26,2.1,0
6.4,54,1.17,47,7.2,45,28,2.2,0
6.7,51,1.16,44,5.7,48,31,2.2,0
12,63,1.34,51,2,46,28,2.3,1
6.2,48,1.07,42,5.3,46,25,2.2,0
7.3,49,1.05,42,3.4,45,24,1.9,0
3.3,30,0.7,27,6.3,39,20,1.6,0
0.8,18,0.57,17,11,31,16,1.3,0
2.8,26,0.73,23,4.3,32,15,1.6,0
2.6,23,0.57,20,6.1,33,13,1.5,0
11,37,0.68,26,4.9,31,14,2.3,0
20,51,1.06,31,8,35,16,2.2,0
15,46,1.03,31,18,42,20,2.4,0
8.6,43,0.81,34,29,50,25,2.7,0
3.7,26,0.47,23,49,56,24,2.4,1
3.9,21,0.48,17,60,61,22,2.7,1
3.1,19,0.52,16,67,62,28,2.6,1
3.1,21,0.53,18,67,60,31,2.5,1
2.6,19,0.5,16,74,67,30,2.8,1
3.6,26,0.54,23,69,70,32,4.9,1
4.7,38,0.66,33,56,66,36,5,1
2.6,38,0.76,35,46,66,31,7.1,1
5,58,1.11,53,29,68,27,9.3,1
3.9,50,0.96,46,31,66,26,4.3,1
1.9,41,0.91,39,35,66,27,2.6,1
1.3,38,0.91,37,30,62,30,2.2,1
5.2,49,1.05,44,18,64,35,3.1,1
10,57,0.92,47,4.2,72,42,5.6,1
16,60,1.03,45,1.1,77,43,5,1
7.9,49,0.96,42,2.6,73,38,5.2,1
17,58,0.95,42,0.9,75,36,5.8,1
7.3,41,0.78,34,3.2,78,36,7,1
3.1,31,0.62,28,7.4,75,37,6.3,1
7,38,0.67,31,6.4,70,36,6.6,1
20,53,0.78,33,5.6,81,36,8.3,1
15,49,0.92,34,19,86,37,8,1
5.2,24,0.51,19,49,78,31,6.1,1
3.1,16,0.34,13,60,76,23,3.8,1
87,110,0.51,24,60,65,18,5.1,1
2.8,52,0.75,49,38,60,20,5.9,1
13,92,1.55,79,7.7,75,31,7,1
11,72,1.28,60,17,82,35,7.7,1
8.6,66,1.1,57,9.8,73,36,5.4,1
16,75,1.08,59,2.8,66,37,6.5,1
7.3,62,0.94,54,2.8,65,33,6.2,1
8.3,60,0.95,52,1.5,67,33,7.3,1
16,66,0.92,51,1.2,70,36,12,1
11,57,0.78,46,1.1,68,39,8.6,1
14,58,0.81,44,1.1,70,35,12,1
22,67,0.88,45,1,71,31,12,1
20,60,0.8,40,1.5,64,32,10,1
29,68,0.9,39,3.9,54,32,8.9,1
29,73,1.14,44,11,56,31,7.5,1
26,83,1.51,57,23,61,32,4.9,1
16,78,1.45,62,46,66,36,4,1
5.6,41,0.84,35,73,66,31,2.6,1
3.1,25,0.46,22,77,57,30,5.2,1
3,25,0.41,22,88,68,29,4.4,1
2.7,21,0.39,19,84,65,26,4,1
2.2,20,0.42,18,93,61,26,4.6,1
1.7,20,0.41,18,88,65,25,4.5,1
1.7,28,0.6,26,68,66,23,4.3,1
2.3,54,1.38,51,43,67,24,4.3,1
6.7,79,1.66,73,17,77,29,6.4,1
8,73,1.38,65,12,90,39,9.1,1
15,85,1.58,70,6.2,88,41,7.3,1
2.6,47,1.04,45,28,71,34,3.6,1
1.3,43,0.95,41,27,61,33,4.2,1
3.2,59,1.09,56,8,73,39,7.3,1
1.9,48,0.85,46,13,79,41,8.4,1
1.3,48,0.77,47,9.9,77,41,8.4,1
3.2,54,0.85,51,4.3,82,44,7.5,1
3.6,44,0.81,40,12,76,42,6.1,1
4.2,34,0.67,30,21,67,38,4.1,1
5.7,39,0.67,33,21,62,33,3.6,1
13,56,1.21,43,25,66,36,4.2,1
18,72,1.58,55,35,72,40,3.5,1
6.3,42,1.03,36,67,78,41,5.9,1
4.3,32,0.75,27,82,86,45,8.7,1
3,22,0.51,19,88,92,46,7,1
3.4,16,0.38,13,86,86,35,5.8,1
3.3,15,0.34,12,83,72,24,4.1,1
3.1,15,0.34,12,58,64,18,2.9,1
2.5,16,0.39,13,48,60,20,3.1,1
2.9,28,0.84,25,36,65,25,4.1,1
9.8,69,1.26,59,11,78,31,22,1
12,77,1.39,65,4.2,87,36,25,1
6.8,60,1.39,53,5.6,84,38,10,1
6.7,49,1.2,42,8.9,75,36,3.7,1
1.9,34,0.81,32,14,65,34,2.4,1
0.9,21,0.57,20,23,61,34,2,1
4.2,29,0.64,25,14,57,32,4.9,1
8,38,0.69,30,1.2,66,36,7.8,1
6.1,33,0.57,27,1.3,76,39,6.2,1
5.6,31,0.58,25,1.5,67,42,6.1,1
18,43,0.69,25,0.9,67,41,6.8,1
22,48,0.86,26,3.8,76,41,8.5,1
31,64,1.29,33,7.2,82,48,7.5,1
15,43,1.11,29,29,90,53,8,1
9.7,36,0.99,26,49,93,53,9.3,1
5.1,26,0.81,21,66,97,51,12,1
4.6,21,0.48,17,48,97,42,7.6,1
5.6,20,0.45,15,40,76,35,4.5,1
4.4,17,0.39,13,36,59,32,4,1
7.6,32,0.59,25,33,75,39,3.5,1
2.4,33,0.7,31,36,94,47,3.3,1
2.6,43,0.98,40,28,117,58,4.2,2
3.2,54,1.47,50,19,133,65,5.6,2
5,69,1.96,64,4.1,137,64,5.4,2
11,72,1.89,61,1.2,138,71,5.8,2
11,68,1.98,57,1.1,141,73,4.8,2
20,73,1.91,53,1.5,147,73,4.7,2
55,104,1.9,49,0.6,154,77,6.7,3
39,84,1.67,45,0.8,154,78,10,3
38,77,1.33,39,0.5,155,75,9.4,3
29,64,1.22,35,0.5,145,70,8.7,2
35,69,1.25,34,0.5,132,67,7.1,2
8.1,27,0.49,19,3.1,101,54,3.7,2
5.8,24,0.59,18,2.3,61,36,2.1,1
20,44,0.94,24,1.7,60,34,3,1
32,72,1.52,40,4.3,86,51,4.7,1
18,56,1.36,38,14,90,54,3.4,1
8.9,43,1.07,34,33,77,43,2.6,1
6.2,37,0.97,31,56,72,36,2.2,1
3.8,28,0.76,24,80,71,36,3.1,1
2.5,19,0.57,17,85,71,39,3.1,1
2,20,0.57,18,95,79,40,4.1,1
2.4,28,0.58,26,54,97,48,5.7,1
3.1,17,0.34,14,32,83,41,3.3,1
2.2,20,0.42,18,26,61,28,4.2,1
1.9,24,0.51,22,15,56,24,3.4,1
3.4,34,0.74,30,7,55,25,2.4,1
2,20,0.47,18,17,54,27,3.2,1
2,20,0.46,18,17,51,26,4.5,1
2,18,0.43,16,16,46,26,3.1,0
2.4,17,0.38,15,10,38,21,3.5,0
25,51,1.09,25,1.2,38,18,4.5,0
11,36,0.77,25,1.7,43,21,3.8,0
3.8,26,0.58,22,2.7,42,24,2.5,0
5.1,27,0.6,22,1.1,45,25,2.9,0
5.7,24,0.52,19,0.7,45,21,3.4,0
7.7,22,0.41,14,0.7,40,14,3.4,0
7,20,0.41,13,0.8,37,13,3.2,0
13,26,0.52,13,1.3,35,15,4,0
18,36,0.78,17,3.1,38,15,3.9,0
15,30,0.7,15,9.3,37,15,2.4,0
7.3,22,0.6,15,23,34,15,2.5,0
6.7,24,0.63,18,25,39,17,2.2,0
6.9,24,0.62,17,30,46,19,2,0
3.6,23,0.61,19,49,46,20,2.4,0
1.7,12,0.37,11,40,44,16,3.3,0
3.8,25,0.55,21,31,49,14,3.6,0
7.7,37,0.73,30,20,55,18,3.7,1
1.6,27,0.6,25,24,55,18,4.7,1
15,59,1.22,44,5.2,55,18,3.1,1
14,59,1.42,45,2.1,57,25,4.3,1
23,66,1.5,43,1.1,64,34,3.4,1
14,50,1.14,36,0.9,68,36,2.9,1
19,53,1.27,34,1.4,62,34,2.8,1
30,61,1.5,31,1.4,54,26,2.8,1
21,51,1.24,30,0.4,54,26,2.8,1
27,54,1.16,27,0.5,57,27,5.2,1
33,57,1.19,24,0.6,59,26,6.2,1
29,50,0.99,21,0.3,59,28,5.5,1
21,42,0.91,21,0.5,55,25,4.4,1
5.3,23,0.41,18,1.8,45,21,5.6,0
4.2,22,0.36,18,2.4,37,17,4.8,0
54,77,1.06,23,2,39,19,4.2,0
54,81,1.65,27,2.3,49,23,5.5,0
13,32,0.75,19,9.4,51,19,5.8,1
5,19,0.37,14,20,48,15,6,0
3.3,18,0.35,14,30,49,15,3.6,0
2.6,17,0.35,14,39,55,18,3.6,1
2.5,17,0.38,15,38,55,20,3.3,1
2,15,0.33,13,42,51,21,3.7,1
2.5,17,0.32,15,34,48,20,4.1,0
2.7,14,0.24,11,22,44,18,4,0
2.9,16,0.31,13,19,44,19,5.2,0
2.7,18,0.39,16,16,48,16,4.7,0
2.2,21,0.55,19,13,46,14,5.1,0
3.3,24,0.72,20,23,39,13,2.2,0
2.5,22,0.58,20,27,26,9,1.9,0
2.4,22,0.56,20,28,15,9,1.9,0
1.5,20,0.5,18,34,15,10,2.8,0
0.8,14,0.4,13,43,15,7,1.7,0
0.5,11,0.34,11,47,21,10,4.7,0
0.8,10,0.31,9.7,49,39,19,4.8,0
0.8,8,0.29,7.2,55,43,18,2.3,1
1.8,9.6,0.3,7.8,56,31,15,1.4,1
1.1,11,0.32,10,51,26,16,3.7,1
1.5,14,0.38,13,47,23,14,2.2,0
2,20,0.42,18,42,24,16,3.6,0
3.1,26,0.59,22,39,39,24,2,0
4.1,31,0.69,26,34,50,27,1.9,0
7.7,43,0.72,35,26,56,30,2.7,1
3.8,29,0.56,25,35,62,31,1.9,1
5.7,34,0.6,28,31,61,30,2.8,1
3.9,25,0.52,21,44,56,27,2.4,1
3.7,23,0.46,19,47,49,24,1.6,0
3,22,0.42,19,48,46,21,2,0
2.6,23,0.44,21,46,54,22,2.3,1
3,29,0.52,26,41,56,24,2.4,1
2.4,29,0.57,26,42,50,20,2.5,0
3,38,0.72,35,32,48,21,5.5,0
2.2,32,0.66,30,37,46,24,3.2,0
1.8,27,0.54,25,42,49,17,2.2,0
2.2,29,0.55,27,40,50,18,2.6,0
1.9,27,0.52,26,39,54,24,3.4,1
1.7,24,0.45,22,42,59,24,3.4,1
1.5,19,0.4,17,44,57,21,2.2,1
1.4,14,0.31,13,48,51,20,1.8,1
1.6,13,0.28,11,48,45,18,1.7,0
0.8,11,0.25,11,46,45,21,3.6,0
1,11,0.28,9.7,46,42,23,2.1,0
1.2,15,0.3,13,39,40,18,3.7,0
